"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2017 YX4)","6","23.6","33 - 148","7","11.539, 426","11.998, 402","87","? 2024-06 [23.6] ?","none","none","bK17Y04X"
"(2013 XY9)","12","23.5","35 - 155","7","11.555, 370","11.991, 146","86","? 2041-02 [23.8] ?","none","none","bK13X09Y"
"136618 (1994 CN2)","151","16.7","795 - 3556","1","11.586, 314","11.891, 258","85","2020-03 [18.6]","2036-11 [61]","2038-09 [35]","a0136618"
"(2017 BP91)","8","23.3","38 - 170","2","11.608, 442","11.965, 370","85","2022-08 [23.2]","none","none","bK17B91P"
"(2018 ME5)","14","22.8","48 - 214","4","11.508, 362","11.826, 338","84","2023-05 [19.5]","2023-07 [28]","none","bK18M05E"
"(2011 UY255)","19","23.0","44 - 195","1","11.185, 362","11.969, 346","84","2022-08 [21.0]","none","none","bK11UP5Y"
"(2008 TD2)","22","21.8","76 - 340","2","11.447, 378","11.946, 186","84","2021-03 [23.1]","2025-10 [11]","none","bK08T02D"
"(2017 UR5)","1","28.7","3.2 - 14","6","11.359, 370","11.992, 354","83","none","none","none","bK17U05R"
"(2006 KL103)","8","25.5","14 - 62","8","11.857, 450","11.992, 362","82","none","none","none","bK06KA3L"
"(2014 BM25)","7","28.1","4.2 - 19","6","11.370, 282","11.957, 266","82","none","none","none","bK14B25M"
"(2016 LY8)","18","23.2","40 - 178","5","11.368, 362","11.986, 322","82","2021-04 [21.8]","none","none","bK16L08Y"
"(2015 FO33)","5","24.1","26 - 118","9","11.835, 386","11.997, 354","82","? 2026-11 [23.4] ?","none","none","bK15F33O"
"(2019 SW9)","5","24.5","22 - 98","6","11.486, 370","11.867, 354","82","2022-04 [23.7]","none","none","bK19S09W"
"(2014 PZ58)","18","23.5","35 - 155","4","11.501, 370","11.918, 354","79","2020-04 [24.0]","none","none","bK14P58Z"
"(2012 DL4)","7","24.9","18 - 81","7","10.671, 370","11.795, 330","78","? 2025-08 [23.9] ?","none","none","bK12D04L"
"(2017 NC)","2","25.7","13 - 56","8","11.429, 450","11.921, 426","78","? 2037-12 [22.6] ?","none","none","bK17N00C"
"(2017 VY13)","7","26.4","9.1 - 41","7","11.248, 378","11.997, 354","78","? 2021-04 [23.6] ?","none","none","bK17V13Y"
"(2020 CJ1)","6","23.9","29 - 130","7","11.341, 426","11.983, 362","78","2020-03 [21.7]","none","none","bK20C01J"
"(2019 UC5)","4","26.5","8.7 - 39","8","11.071, 362","11.911, 114","77","? 2036-09 [17.6] ?","none","none","bK19U05C"
"(2019 UJ9)","4","24.7","20 - 89","8","11.120, 362","11.953, 338","77","2020-03 [23.5]","none","none","bK19U09J"
"(2004 RW2)","11","24.4","23 - 103","8","11.490, 362","11.880, 154","76","? 2021-07 [19.9] ?","none","none","bK04R02W"
"(2003 OT13)","19","23.3","38 - 170","0","11.212, 362","11.969, 346","76","2022-04 [23.1]","none","none","bK03O13T"
"(2004 HL)","6","26.5","8.7 - 39","7","11.176, 402","11.964, 370","76","? 2035-03 [21.9] ?","none","none","bK04H00L"
"(2016 QB2)","29","24.1","26 - 118","5","11.470, 402","11.975, 378","76","2028-07 [22.9]","none","none","bK16Q02B"
"192559 (1998 VO)","66","20.3","152 - 678","0","11.544, 362","11.930, 346","75","2020-03 [23.2]","2036-05 [11]","none","a0192559"
"(2006 VB45)","9","24.7","20 - 89","7","10.847, 362","11.954, 346","75","? 2029-11 [22.6] ?","none","none","bK06V45B"
"(2008 VA15)","21","23.7","32 - 142","0","11.346, 450","11.995, 418","75","2022-08 [22.1]","none","none","bK08V15A"
"(2017 DL34)","10","25.9","11 - 51","7","11.020, 362","11.859, 338","75","none","none","none","bK17D34L"
"(2017 WK1)","2","27.0","6.9 - 31","7","11.376, 354","11.959, 338","75","none","none","none","bK17W01K"
"(2012 US9)","14","21.6","83 - 372","4","11.768, 370","11.924, 362","74","2020-06 [20.3]","none","none","bK12U09S"
"(2018 FA3)","7","22.8","48 - 214","5","11.545, 418","11.909, 386","74","2026-03 [23.8]","none","none","bK18F03A"
"(2019 BJ2)","20","23.3","38 - 170","5","11.640, 378","11.843, 354","74","2021-09 [22.6]","none","none","bK19B02J"
"(2019 HT2)","3","25.8","12 - 54","8","11.183, 362","11.947, 162","74","? 2037-04 [19.6] ?","none","none","bK19H02T"
"(2004 BE86)","50","20.9","115 - 514","0","11.544, 386","11.927, 362","73","2020-07 [21.8]","2023-03 [79]","none","bK04B86E"
"(2011 WP4)","8","27.2","6.3 - 28","6","11.425, 378","11.985, 338","73","? 2023-04 [23.6] ?","none","none","bK11W04P"
"(2017 TJ6)","2","27.6","5.3 - 23","8","11.146, 362","11.919, 322","72","none","none","none","bK17T06J"
"(2018 EJ4)","64","21.4","91 - 408","0","11.146, 362","11.970, 346","72","2021-01 [23.7]","none","none","bK18E04J"
"(2014 HA199)","3","27.9","4.6 - 20","9","11.536, 442","11.952, 394","71","none","none","none","bK14HJ9A"
"(2018 GR11)","1","28.5","3.5 - 16","8","11.571, 362","11.934, 346","71","none","none","none","bK18G11R"
"(2017 DK34)","3","26.8","7.6 - 34","7","10.998, 402","11.900, 378","70","none","none","none","bK17D34K"
"(2017 YR3)","7","25.3","15 - 68","6","11.697, 370","11.924, 218","69","? 2038-12 [21.4] ?","none","none","bK17Y03R"
"(2011 FR29)","9","22.0","69 - 310","4","11.160, 450","11.995, 442","68","2020-04 [23.1]","2021-07 [44]","none","bK11F29R"
"(2015 HB117)","29","23.6","33 - 148","5","11.339, 370","11.973, 346","68","2020-03 [23.3]","none","none","bK15HB7B"
"(2017 UT1)","1","27.5","5.5 - 25","7","11.445, 282","11.900, 226","68","none","none","none","bK17U01T"
"(2003 BS35)","8","24.7","20 - 89","8","10.839, 370","11.832, 338","67","? 2034-07 [23.9] ?","none","none","bK03B35S"
"457663 (2009 DN1)","43","20.3","152 - 678","0","11.410, 378","11.966, 170","67","2020-09 [20.8]","none","none","a0457663"
"(2005 LU3)","8","26.2","10 - 45","7","11.362, 410","11.874, 386","67","? 2027-10 [22.0] ?","none","none","bK05L03U"
"(2012 TF53)","38","21.2","100 - 448","0","11.571, 346","11.888, 322","67","2020-04 [22.9]","2030-03 [65]","none","bK12T53F"
"(2016 JF17)","4","25.4","14 - 65","8","11.547, 450","11.998, 402","66","? 2021-04 [23.5] ?","none","none","bK16J17F"
"(2019 DK)","1","22.6","53 - 235","8","11.462, 378","11.839, 354","66","? 2021-06 [20.9] ?","none","none","bK19D00K"
"(2016 TK)","16","23.3","38 - 170","0","11.417, 362","11.761, 346","65","2020-03 [22.6]","none","none","bK16T00K"
"(2019 JP1)","2","27.4","5.8 - 26","8","11.389, 442","11.926, 418","65","none","none","none","bK19J01P"
"(2009 DC45)","6","27.6","5.3 - 23","8","11.514, 370","11.899, 338","65","none","none","none","bK09D45C"
"(2009 RG2)","12","25.7","13 - 56","8","11.574, 170","11.873, 138","64","? 2040-08 [21.2] ?","none","none","bK09R02G"
"(2016 TC)","4","25.9","11 - 51","8","11.330, 386","11.867, 362","63","? 2023-03 [23.8] ?","none","none","bK16T00C"
"(2003 JO14)","8","25.2","16 - 71","7","11.380, 362","11.958, 346","63","? 2022-04 [22.7] ?","none","none","bK03J14O"
"(2011 EC)","9","25.5","14 - 62","7","10.712, 290","11.796, 146","62","? 2035-01 [22.2] ?","none","none","bK11E00C"
"(2019 KG3)","5","25.8","12 - 54","8","11.230, 362","11.988, 162","62","? 2037-05 [20.5] ?","none","none","bK19K03G"
"363067 (2000 CO101)","152","19.1","263 - 1177","0","11.081, 362","11.915, 346","61","2020-03 [19.6]","2028-09 [6700]","2028-09 [140]","a0363067"
"(2005 FN)","8","26.9","7.3 - 32","5","11.756, 370","12.000, 362","60","2039-11 [23.7]","none","none","bK05F00N"
"(2018 MZ4)","1","28.8","3.0 - 14","7","11.612, 370","11.909, 354","60","none","none","none","bK18M04Z"
"(2010 RG31)","9","22.6","53 - 235","8","11.237, 354","11.998, 338","60","? 2025-04 [24.0] ?","none","none","bK10R31G"
"(2016 CR247)","14","21.6","83 - 372","4","11.564, 370","11.999, 362","60","2022-03 [20.5]","none","none","bK16CO7R"
"(2013 PJ10)","17","24.6","21 - 94","6","10.611, 362","11.783, 338","59","? 2029-02 [23.7] ?","none","none","bK13P10J"
"(2013 YA14)","8","23.6","33 - 148","0","11.419, 402","11.853, 386","59","2022-11 [15.6]","2022-12 [3.1e5]","2022-12 [6100]","bK13Y14A"
"(2008 GC110)","30","22.0","69 - 310","0","11.103, 370","11.966, 346","58","2024-01 [21.1]","none","none","bK08GB0C"
"(2019 TO1)","3","25.4","14 - 65","8","11.687, 298","11.981, 178","58","? 2042-05 [22.1] ?","none","none","bK19T01O"
"(2009 XP2)","14","25.2","16 - 71","6","11.647, 386","11.971, 370","57","? 2021-06 [23.9] ?","none","none","bK09X02P"
"(2011 AJ37)","5","25.8","12 - 54","9","11.572, 386","11.890, 338","57","? 2034-01 [22.8] ?","none","none","bK11A37J"
"(2016 LX8)","9","23.9","29 - 129","7","11.624, 370","11.963, 354","57","? 2021-11 [23.3] ?","none","none","bK16L08X"
"(2019 QY4)","5","27.6","5.3 - 23","7","11.542, 434","11.990, 410","57","none","none","none","bK19Q04Y"
"187040 (2005 JS108)","116","19.1","263 - 1177","0","11.607, 386","11.926, 346","56","2021-03 [21.3]","2024-07 [270]","2024-07 [13]","a0187040"
"(2014 QD364)","8","27.2","6.3 - 28","4","10.964, 450","11.931, 410","56","none","none","none","bK14Qa4D"
"(2019 AO11)","3","25.4","14 - 65","8","10.874, 362","11.952, 338","56","? 2037-01 [23.2] ?","none","none","bK19A11O"
"(2016 NS)","11","25.4","14 - 65","7","11.653, 378","11.965, 354","56","? 2029-06 [23.6] ?","none","none","bK16N00S"
"(2004 HT59)","7","27.2","6.3 - 28","7","11.552, 394","11.995, 378","55","none","none","none","bK04H59T"
"(2014 HS124)","12","22.9","46 - 205","5","11.099, 354","11.691, 338","55","2022-10 [23.6]","2025-04 [400]","2025-04 [43]","bK14HC4S"
"(2007 LT)","19","22.6","53 - 235","0","11.633, 266","11.937, 210","55","2020-09 [23.7]","2029-04 [20]","none","bK07L00T"
"(2014 DG23)","6","25.1","17 - 74","6","11.340, 362","11.956, 346","54","? 2021-01 [20.1] ?","none","none","bK14D23G"
"(2002 DQ3)","21","23.8","30 - 135","6","11.563, 370","11.950, 338","53","? 2033-02 [23.4] ?","none","none","bK02D03Q"
"(2009 BN58)","7","25.8","12 - 54","8","11.598, 378","11.881, 354","53","none","none","none","bK09B58N"
"(2020 DO1)","3","25.4","14 - 64","8","11.490, 346","11.943, 162","53","2020-03 [22.1]","none","none","bK20D01O"
"(2007 TE66)","23","21.5","87 - 390","0","11.704, 386","11.995, 362","52","2020-04 [19.8]","2021-04 [12]","none","bK07T66E"
"(2016 XE18)","3","25.3","15 - 68","6","11.218, 370","11.952, 354","52","? 2023-11 [21.6] ?","none","none","bK16X18E"
"(1998 HM1)","11","24.4","23 - 103","8","11.231, 346","11.866, 314","51","? 2023-08 [22.6] ?","none","none","bJ98H01M"
"(2014 KC45)","5","29.3","2.4 - 11","6","11.632, 338","11.962, 282","51","none","none","none","bK14K45C"
"(2018 CA3)","1","23.7","32 - 142","9","11.353, 362","11.822, 354","51","? 2023-10 [23.7] ?","none","none","bK18C03A"
"(2016 HT6)","5","25.9","11 - 51","8","11.175, 378","11.957, 370","51","? 2024-09 [23.1] ?","none","none","bK16H06T"
"(2017 BP30)","6","26.0","11 - 49","7","11.429, 370","11.976, 354","51","none","none","none","bK17B30P"
"523605 (2004 RX10)","40","21.3","96 - 428","0","11.737, 402","11.993, 394","50","2020-05 [22.3]","2027-10 [33]","none","a0523605"
"(2013 US3)","53","21.3","96 - 428","0","10.779, 362","11.976, 346","50","2021-08 [23.4]","2022-02 [30]","none","bK13U03S"
"(2018 RR5)","8","26.3","10 - 43","7","11.611, 434","11.966, 378","50","none","none","none","bK18R05R"
"(2010 PW58)","14","21.7","80 - 356","2","11.635, 370","11.938, 354","50","2020-04 [22.4]","2031-08 [19]","2036-08 [380]","bK10P58W"
"(2014 QU362)","9","24.3","24 - 107","5","11.424, 362","11.898, 346","50","2023-04 [23.7]","none","none","bK14Qa2U"
"(2015 YS)","6","25.8","12 - 54","8","11.312, 362","11.999, 338","49","none","none","none","bK15Y00S"
"(2011 CR1)","10","26.5","8.7 - 39","7","11.337, 402","11.899, 386","49","? 2027-11 [22.4] ?","none","none","bK11C01R"
"382758 (2003 GY)","89","20.2","159 - 709","0","11.543, 362","11.929, 330","48","2020-12 [22.1]","none","none","a0382758"
"(2015 KD57)","4","28.2","4.0 - 18","8","11.583, 418","11.965, 378","48","none","none","none","bK15K57D"
"(2017 YV3)","4","25.0","17 - 78","7","11.638, 370","11.885, 354","48","? 2021-11 [23.1] ?","none","none","bK17Y03V"
"(2019 AV)","5","24.3","24 - 107","7","11.568, 378","11.933, 354","48","2022-02 [23.1]","none","none","bK19A00V"
"(2017 BM3)","19","23.0","44 - 195","2","11.903, 362","11.997, 362","48","2043-09 [23.6]","none","none","bK17B03M"
"(2015 OO35)","6","24.5","22 - 98","7","11.728, 362","11.987, 314","47","none","none","none","bK15O35O"
"464798 (2004 JX20)","117","19.4","229 - 1026","0","11.766, 362","11.923, 354","47","2021-05 [21.2]","2022-06 [820]","2022-06 [16]","a0464798"
"(2011 UF10)","7","23.4","36 - 163","8","11.455, 370","11.893, 354","46","? 2030-08 [22.8] ?","none","none","bK11U10F"
"(2014 UL192)","8","25.5","14 - 62","6","11.702, 386","11.997, 354","45","none","none","none","bK14UJ2L"
"(2008 KA6)","6","23.5","35 - 155","9","11.675, 370","11.990, 354","45","? 2021-04 [22.3] ?","none","none","bK08K06A"
"175706 (1996 FG3)","146","18.4","363 - 1625","0","11.274, 450","11.973, 442","44","2020-03 [20.4]","2022-05 [2700]","2022-05 [120]","a0175706"
"154019 (2002 CZ9)","12","22.0","69 - 310","1","11.636, 346","11.767, 338","44","2022-01 [23.9]","2031-02 [150]","2031-03 [15]","a0154019"
"(2019 BL)","4","25.2","16 - 71","6","11.711, 370","11.923, 354","44","none","none","none","bK19B00L"
"(2019 UZ)","4","27.9","4.6 - 20","6","11.668, 378","11.997, 362","44","? 2038-10 [21.3] ?","none","none","bK19U00Z"
"(2019 LU4)","5","26.6","8.3 - 37","6","11.662, 362","11.773, 346","43","none","none","none","bK19L04U"
"489486 (2007 GS3)","107","19.4","229 - 1026","0","11.664, 362","11.983, 354","43","2020-03 [20.2]","2031-10 [250]","none","a0489486"
"(2017 RV2)","11","26.2","10 - 45","6","11.003, 410","11.887, 378","43","? 2042-06 [23.4] ?","none","none","bK17R02V"
"(2020 DT1)","3","24.1","26 - 118","8","11.644, 370","11.924, 362","43","2020-03 [22.3]","none","none","bK20D01T"
"(2012 BY76)","5","25.5","14 - 62","9","11.412, 354","11.976, 322","42","? 2023-08 [23.3] ?","none","none","bK12B76Y"
"(2013 BV15)","41","24.3","24 - 107","3","11.624, 354","11.889, 314","42","2023-12 [23.4]","none","none","bK13B15V"
"(2007 KK)","9","23.4","36 - 163","7","11.794, 378","11.933, 354","41","? 2023-08 [23.8] ?","none","none","bK07K00K"
"(2018 XS2)","1","26.1","10 - 47","8","11.392, 370","11.907, 162","41","? 2041-11 [20.1] ?","none","none","bK18X02S"
"(2015 YS9)","11","26.0","11 - 49","7","11.615, 298","11.929, 218","41","? 2027-12 [23.3] ?","none","none","bK15Y09S"
"(2009 BF58)","14","27.3","6.0 - 27","7","11.647, 354","11.987, 274","41","none","none","none","bK09B58F"
"(2006 UN)","18","25.5","14 - 62","6","11.486, 418","11.892, 402","40","? 2033-08 [22.6] ?","none","none","bK06U00N"
"(2013 PH10)","14","23.3","38 - 170","7","11.806, 442","11.953, 402","40","? 2023-03 [23.0] ?","none","none","bK13P10H"
"(2014 WE120)","7","24.1","26 - 118","6","11.624, 410","11.955, 394","39","? 2037-05 [24.0] ?","none","none","bK14WC0E"
"(2016 AX164)","4","26.2","10 - 45","6","10.779, 370","11.859, 346","39","none","none","none","bK16AG4X"
"(2017 WK15)","4","26.7","8.0 - 36","7","11.128, 378","11.844, 354","39","? 2042-10 [21.3] ?","none","none","bK17W15K"
"450300 (2004 QD14)","42","20.5","138 - 618","0","11.430, 378","11.767, 370","39","2024-08 [22.1]","2036-07 [35]","2038-11 [24]","a0450300"
"(2015 XO128)","4","24.7","20 - 89","8","11.669, 330","11.944, 298","38","? 2040-11 [20.2] ?","none","none","bK15XC8O"
"(2019 OK1)","8","24.2","25 - 112","6","11.617, 450","11.985, 338","38","2042-07 [23.6]","none","none","bK19O01K"
"(2008 ED85)","7","29.9","1.8 - 8.1","9","11.506, 178","11.993, 138","37","none","none","none","bK08E85D"
"(2011 HJ)","9","26.0","11 - 49","7","11.686, 306","11.899, 298","37","none","none","none","bK11H00J"
"(2012 XH)","13","26.2","10 - 45","7","11.315, 418","11.996, 210","37","? 2044-08 [20.0] ?","none","none","bK12X00H"
"(2017 YW5)","7","23.0","44 - 195","4","11.485, 362","11.925, 346","37","2021-08 [23.4]","none","none","bK17Y05W"
"(2018 XT3)","2","25.2","16 - 71","8","11.417, 370","11.960, 346","37","none","none","none","bK18X03T"
"(2002 TX59)","7","24.2","25 - 112","8","11.291, 370","11.985, 362","36","? 2021-09 [23.1] ?","none","none","bK02T59X"
"(2008 GB21)","12","25.9","11 - 51","7","11.584, 338","11.985, 290","36","? 2030-11 [23.0] ?","none","none","bK08G21B"
"(2009 TM8)","9","28.4","3.6 - 16","6","10.334, 338","11.971, 178","36","none","none","none","bK09T08M"
"(2011 FQ21)","7","28.2","4.0 - 18","8","11.298, 450","11.880, 362","36","none","none","none","bK11F21Q"
"(2012 EB)","11","23.8","30 - 135","7","11.032, 370","11.823, 346","36","? 2021-06 [22.4] ?","none","none","bK12E00B"
"(2013 TF4)","8","24.7","20 - 89","7","11.427, 362","11.956, 338","36","? 2027-06 [23.7] ?","none","none","bK13T04F"
"(2018 NJ)","8","27.9","4.6 - 20","5","11.237, 402","11.951, 186","36","? 2039-08 [23.8] ?","none","none","bK18N00J"
"(2015 XP169)","7","26.1","10 - 47","7","11.616, 370","11.904, 354","36","? 2036-06 [22.0] ?","none","none","bK15XG9P"
"(2010 DE2)","8","26.8","7.6 - 34","7","11.330, 402","11.947, 362","35","? 2035-03 [22.6] ?","none","none","bK10D02E"
"(2015 MZ130)","4","24.9","18 - 81","6","11.120, 362","11.985, 338","35","? 2030-12 [23.8] ?","none","none","bK15MD0Z"
"(2018 BR6)","4","26.3","10 - 43","7","11.300, 370","11.972, 354","35","none","none","none","bK18B06R"
"(1996 FT1)","13","24.4","23 - 103","8","11.757, 354","11.987, 338","35","? 2039-09 [22.1] ?","none","none","bJ96F01T"
"(2019 TN4)","4","23.2","40 - 178","8","11.796, 450","11.996, 394","35","? 2022-01 [24.0] ?","none","none","bK19T04N"
"(2003 GD42)","8","24.7","20 - 89","7","11.330, 370","11.988, 170","34","? 2031-03 [18.5] ?","none","none","bK03G42D"
"(2008 EK85)","6","28.4","3.6 - 16","8","11.562, 362","11.966, 346","34","none","none","none","bK08E85K"
"(2008 TZ)","15","25.4","14 - 65","6","11.461, 450","11.961, 450","34","2021-10 [23.5]","none","none","bK08T00Z"
"(2018 YT2)","2","25.2","16 - 71","7","11.638, 370","11.990, 354","34","? 2027-01 [23.2] ?","none","none","bK18Y02T"
"528159 (2008 HS3)","104","21.6","83 - 372","0","11.329, 370","11.808, 354","33","2021-10 [22.6]","2030-05 [22]","none","a0528159"
"(2012 QM14)","7","25.7","13 - 56","8","11.757, 442","11.973, 418","33","? 2027-01 [22.8] ?","none","none","bK12Q14M"
"(2013 AL11)","13","23.2","40 - 178","6","11.641, 402","11.980, 386","33","? 2026-08 [23.5] ?","none","none","bK13A11L"
"(2016 EV84)","12","26.7","8.0 - 36","6","11.255, 362","11.938, 346","33","? 2045-03 [22.2] ?","none","none","bK16E84V"
"(2017 JB2)","5","29.2","2.5 - 11","4","11.291, 450","11.926, 434","33","none","none","none","bK17J02B"
"(2018 UG1)","8","26.3","10 - 43","7","11.533, 394","11.963, 354","33","? 2035-10 [22.4] ?","none","none","bK18U01G"
"(2019 SK8)","6","26.1","10 - 47","7","11.621, 362","11.934, 346","33","none","none","none","bK19S08K"
"(2019 UQ8)","3","25.7","13 - 56","7","11.447, 370","11.804, 362","33","? 2033-04 [22.8] ?","none","none","bK19U08Q"
"(2008 TT26)","22","23.6","33 - 148","5","11.420, 370","11.929, 354","32","2020-03 [23.6]","none","none","bK08T26T"
"(2017 SN21)","1","26.0","11 - 49","7","11.205, 362","11.968, 346","32","none","none","none","bK17S21N"
"(2017 WQ1)","3","24.8","19 - 85","7","11.689, 338","11.939, 314","32","? 2021-01 [22.1] ?","none","none","bK17W01Q"
"(2016 VW2)","6","26.3","10 - 43","7","11.534, 370","11.994, 186","32","? 2023-11 [18.9] ?","none","none","bK16V02W"
"(2006 WP3)","12","23.4","36 - 163","7","11.533, 370","11.936, 346","32","2025-11 [23.3]","none","none","bK06W03P"
"(2018 GD5)","1","27.8","4.8 - 21","7","11.068, 362","11.858, 346","31","none","none","none","bK18G05D"
"(2019 UR1)","2","25.8","12 - 54","6","11.810, 362","11.984, 354","31","? 2027-10 [23.1] ?","none","none","bK19U01R"
"(2014 VL6)","28","21.3","96 - 428","0","11.568, 370","11.988, 354","30","2021-01 [20.6]","2039-09 [16]","none","bK14V06L"
"(2018 UC3)","9","25.6","13 - 59","7","11.524, 370","11.891, 354","30","? 2029-04 [21.2] ?","none","none","bK18U03C"
"(2009 JE1)","6","26.8","7.6 - 34","9","11.521, 362","11.921, 346","30","none","none","none","bK09J01E"
"(2004 XG29)","17","25.3","15 - 68","6","11.694, 450","11.990, 410","30","none","none","none","bK04X29G"
"(2017 UG3)","2","27.2","6.3 - 28","8","11.524, 418","11.973, 410","30","? 2021-09 [23.6] ?","none","none","bK17U03G"
"(2008 SY150)","13","24.7","20 - 89","6","11.467, 362","11.950, 338","29","? 2026-05 [23.4] ?","none","none","bK08SF0Y"
